	Stance
1572	FAVOR
1573	AGAINST
1574	NONE
1575	FAVOR
1576	NONE
1577	AGAINST
1578	FAVOR
1579	AGAINST
1580	NONE
1581	FAVOR
1582	NONE
1583	NONE
1584	AGAINST
1585	NONE
1586	AGAINST
1587	NONE
1588	AGAINST
1589	FAVOR
1590	FAVOR
1591	FAVOR
1592	NONE
1593	NONE
1594	FAVOR
1595	AGAINST
1596	NONE
1597	AGAINST
1598	AGAINST
1599	FAVOR
1600	AGAINST
1601	NONE
1602	FAVOR
1603	AGAINST
1604	FAVOR
1605	AGAINST
1606	FAVOR
1607	NONE
1608	FAVOR
1609	FAVOR
1610	FAVOR
1611	AGAINST
1612	NONE
1613	FAVOR
1614	FAVOR
1615	FAVOR
1616	AGAINST
1617	NONE
1618	AGAINST
1619	AGAINST
1620	FAVOR
1621	AGAINST
1622	AGAINST
1623	AGAINST
1624	NONE
1625	AGAINST
1626	AGAINST
1627	NONE
1628	FAVOR
1629	AGAINST
1630	NONE
1631	AGAINST
1632	NONE
1633	NONE
1634	AGAINST
1635	AGAINST
1636	NONE
1637	AGAINST
1638	AGAINST
1639	AGAINST
1640	NONE
1641	NONE
1642	AGAINST
1643	NONE
1644	NONE
1645	FAVOR
1646	NONE
1647	FAVOR
1648	AGAINST
1649	AGAINST
1650	NONE
1651	FAVOR
1652	FAVOR
1653	AGAINST
1654	AGAINST
1655	AGAINST
1656	FAVOR
1657	NONE
1658	NONE
1659	AGAINST
1660	AGAINST
1661	NONE
1662	NONE
1663	NONE
1664	AGAINST
1665	AGAINST
1666	AGAINST
1667	AGAINST
1668	AGAINST
1669	NONE
1670	AGAINST
1671	AGAINST
1672	AGAINST
1673	AGAINST
1674	AGAINST
1675	AGAINST
1676	NONE
1677	AGAINST
1678	NONE
1679	NONE
1680	AGAINST
1681	AGAINST
1682	AGAINST
1683	NONE
1684	FAVOR
1685	NONE
1686	FAVOR
1687	FAVOR
1688	AGAINST
1689	FAVOR
1690	FAVOR
1691	NONE
1692	FAVOR
1693	AGAINST
1694	AGAINST
1695	FAVOR
1696	AGAINST
1697	AGAINST
1698	FAVOR
1699	FAVOR
1700	AGAINST
1701	NONE
1702	AGAINST
1703	AGAINST
1704	AGAINST
1705	AGAINST
1706	AGAINST
1707	AGAINST
1708	NONE
1709	AGAINST
1710	AGAINST
1711	FAVOR
1712	AGAINST
1713	NONE
1714	NONE
1715	FAVOR
1716	AGAINST
1717	AGAINST
1718	FAVOR
1719	NONE
1720	AGAINST
1721	FAVOR
1722	AGAINST
1723	NONE
1724	FAVOR
1725	AGAINST
1726	FAVOR
1727	FAVOR
1728	FAVOR
1729	FAVOR
1730	FAVOR
1731	FAVOR
1732	NONE
1733	AGAINST
1734	NONE
1735	AGAINST
1736	FAVOR
1737	FAVOR
1738	AGAINST
1739	NONE
1740	AGAINST
1741	FAVOR
1742	AGAINST
1743	NONE
1744	AGAINST
1745	AGAINST
1746	AGAINST
1747	FAVOR
1748	NONE
1749	FAVOR
1750	NONE
1751	AGAINST
1752	AGAINST
1753	NONE
1754	AGAINST
1755	AGAINST
1756	FAVOR
1757	NONE
1758	NONE
1759	AGAINST
1760	FAVOR
1761	AGAINST
1762	NONE
1763	AGAINST
1764	NONE
1765	NONE
1766	AGAINST
1767	NONE
1768	NONE
1769	AGAINST
1770	FAVOR
1771	AGAINST
1772	NONE
1773	AGAINST
1774	NONE
1775	NONE
1776	FAVOR
1777	NONE
1778	FAVOR
1779	AGAINST
1780	AGAINST
1781	NONE
1782	NONE
1783	NONE
1784	NONE
1785	NONE
1786	FAVOR
1787	NONE
1788	NONE
1789	FAVOR
1790	NONE
1791	FAVOR
1792	AGAINST
1793	AGAINST
1794	FAVOR
1795	AGAINST
1796	AGAINST
1797	AGAINST
1798	NONE
1799	AGAINST
1800	AGAINST
1801	FAVOR
1802	NONE
1803	FAVOR
1804	AGAINST
1805	AGAINST
1806	FAVOR
1807	NONE
1808	AGAINST
1809	AGAINST
1810	AGAINST
1811	AGAINST
1812	FAVOR
1813	NONE
1814	AGAINST
1815	FAVOR
1816	NONE
1817	NONE
1818	NONE
1819	AGAINST
1820	FAVOR
1821	NONE
1822	NONE
1823	FAVOR
1824	FAVOR
1825	AGAINST
1826	AGAINST
1827	AGAINST
1828	AGAINST
1829	AGAINST
1830	FAVOR
1831	NONE
